frame,smile_vertical_asymmetry_norm,mouth_horizontal_asymmetry_norm,eye_horizontal_asymmetry_norm,general_symmetry_score_norm,facial_droop_flag,severity_score
aug_0_8278.jpg,0.254,0.1108,0.4536,0.2963,1,53.46
aug_0_8306.jpg,0.4225,0.305,0.5274,0.347,1,85.12
aug_0_8318.jpg,0.1578,0.2273,0.2751,0.1759,1,44.55
aug_0_8325.jpg,0.3083,0.2976,0.5119,0.3601,1,73.15
aug_0_8328.jpg,0.3816,0.3068,0.5287,0.3548,1,81.17
aug_0_8368.jpg,0.3169,0.3374,0.5015,0.3473,1,77.0
aug_0_8374.jpg,0.278,0.4444,0.3852,0.2674,1,75.63
aug_0_8382.jpg,0.3606,0.2807,0.4286,0.2966,1,76.88
aug_0_8387.jpg,0.4498,0.2914,0.6604,0.4043,1,86.84
aug_0_8389.jpg,0.2338,0.2727,0.4234,0.3362,1,63.83
aug_0_8393.jpg,0.2744,0.1719,0.4099,0.3002,1,60.33
aug_0_8415.jpg,0.3619,0.2907,0.3525,0.2442,1,74.27
aug_0_8426.jpg,0.3997,0.3318,0.4717,0.2501,1,81.53
aug_0_8430.jpg,0.1344,0.2938,0.2783,0.1986,1,48.72
aug_0_8435.jpg,0.2834,0.363,0.4882,0.356,1,75.56
aug_0_8442.jpg,0.3477,0.2166,0.5492,0.3747,1,71.01
aug_0_8443.jpg,0.1021,0.0228,0.2294,0.1899,1,24.58
aug_0_8444.jpg,0.2036,0.1268,0.2591,0.1918,1,42.66
aug_0_8451.jpg,0.2992,0.4118,0.4897,0.3363,1,79.92
aug_0_8462.jpg,0.0953,0.1741,0.254,0.1804,1,34.61
aug_0_8467.jpg,0.3329,0.2162,0.377,0.2741,1,67.78
aug_0_848.jpg,0.147,0.1137,0.2747,0.2366,1,39.0
aug_0_8491.jpg,0.187,0.1862,0.3616,0.231,1,48.06
aug_0_8492.jpg,0.2708,0.1262,0.6003,0.4432,1,56.55
aug_0_8509.jpg,0.2479,0.4428,0.2186,0.2731,1,72.99
aug_0_8540.jpg,0.1767,0.0093,0.2504,0.1891,1,30.97
aug_0_8581.jpg,0.3144,0.3659,0.4731,0.3319,1,78.88
aug_0_8595.jpg,0.3213,0.3258,0.5054,0.345,1,76.56
aug_0_8606.jpg,0.1703,0.1249,0.426,0.3899,1,46.4
aug_0_8608.jpg,0.158,0.2551,0.1133,0.1631,1,45.81
aug_0_8613.jpg,0.381,0.3725,0.4243,0.2679,1,83.89
aug_0_8643.jpg,0.1987,0.4017,0.179,0.1863,1,62.29
aug_0_8649.jpg,0.227,0.3005,0.3119,0.2073,1,59.06
aug_0_866.jpg,0.1779,0.2603,0.2293,0.1696,1,48.61
aug_0_8663.jpg,0.3305,0.3971,0.4423,0.2744,1,81.13
aug_0_8702.jpg,0.1851,0.3359,0.3438,0.2313,1,59.13
aug_0_8706.jpg,0.4099,0.3604,0.7153,0.4628,1,88.02
aug_0_8708.jpg,0.425,0.412,0.5473,0.36,1,92.5
aug_0_8710.jpg,0.2541,0.469,0.3549,0.2672,1,73.22
aug_0_8714.jpg,0.3629,0.3094,0.4242,0.2414,1,75.58
aug_0_8715.jpg,0.3797,0.4708,0.6438,0.4292,1,87.97
aug_0_8721.jpg,0.1915,0.3641,0.2236,0.181,1,58.53
aug_0_8739.jpg,0.2821,0.1624,0.2948,0.1926,1,53.22
aug_0_8750.jpg,0.3721,0.4209,0.6808,0.4221,1,87.21
aug_0_8767.jpg,0.3247,0.1858,0.464,0.3527,1,66.41
aug_0_877.jpg,0.4245,0.3038,0.5538,0.342,1,85.23
aug_0_8780.jpg,0.3407,0.1703,0.445,0.3111,1,66.85
aug_0_8790.jpg,0.2215,0.2129,0.3698,0.2869,1,57.24
aug_0_8792.jpg,0.2896,0.422,0.2989,0.2341,1,74.57
aug_0_8794.jpg,0.2967,0.3436,0.4371,0.3315,1,75.44
aug_0_8806.jpg,0.3918,0.2501,0.5206,0.3367,1,77.94
aug_0_8817.jpg,0.4689,0.2569,0.6831,0.4316,1,86.16
aug_0_8818.jpg,0.2219,0.1187,0.3195,0.2576,1,48.27
aug_0_8831.jpg,0.3878,0.3582,0.4798,0.2635,1,83.21
aug_0_8837.jpg,0.1524,0.2791,0.2543,0.196,1,49.24
aug_0_8843.jpg,0.3301,0.3469,0.5112,0.3619,1,79.03
aug_0_8844.jpg,0.235,0.2465,0.5208,0.316,1,61.99
aug_0_8850.jpg,0.2798,0.2385,0.2954,0.1912,1,58.62
aug_0_8878.jpg,0.198,0.1321,0.3841,0.3037,1,49.71
